gmat gpa work_experience admitted
780 4 3 yes
750 3.9 4 yes
690 3.3 3 no
710 3.7 5 yes
680 3.9 4 no
730 3.7 6 yes
690 2.3 1 no
720 3.3 4 yes
740 3.3 5 yes
690 1.7 1 no
610 2.7 3 no
690 3.7 5 yes
710 3.7 6 yes
680 3.3 4 no
770 3.3 3 yes
610 3 1 no
580 2.7 4 no
650 3.7 6 yes
540 2.7 2 no
590 2.3 3 no
620 3.3 2 yes
600 2 1 no
550 2.3 4 no
550 2.7 1 no
570 3 2 no
670 3.3 6 yes
660 3.7 4 yes
580 2.3 2 no
650 3.7 6 yes
660 3.3 5 yes
640 3 1 no
620 2.7 2 no
660 4 4 yes
660 3.3 6 yes
680 3.3 5 yes
650 2.3 1 no
670 2.7 2 no
580 3.3 1 no
590 1.7 4 no
690 3.7 5 yes
